小区名称,地址,建筑年份,楼栋,单元,户室,朝向,面积
日豪名园,罗湖,1996,1,1,101,南北,60
日豪名园,罗湖,1996,1,1,102,东西,70
日豪名园,罗湖,1996,1,1,103,南北,80
日豪名园,罗湖,1996,1,1,201,南北,60
日豪名园,罗湖,1996,1,1,202,东西,70
日豪名园,罗湖,1996,1,1,203,南北,80
日豪名园,罗湖,1996,1,1,301,南北,60
日豪名园,罗湖,1996,1,1,302,东西,70
日豪名园,罗湖,1996,1,1,303,南北,80
日豪名园,罗湖,1996,1,1,401,南北,60
日豪名园,罗湖,1996,1,1,402,东西,70
日豪名园,罗湖,1996,1,1,403,南北,80
日豪名园,罗湖,1996,1,1,501,南北,60
日豪名园,罗湖,1996,1,1,502,东西,70
日豪名园,罗湖,1996,1,1,503,南北,80
日豪名园,罗湖,1996,1,1,601,南北,60
日豪名园,罗湖,1996,1,1,602,东西,70
日豪名园,罗湖,1996,1,1,603,南北,80
日豪名园,罗湖,1996,1,1,701,南北,60
日豪名园,罗湖,1996,1,1,702,东西,70
日豪名园,罗湖,1996,1,1,703,南北,80
日豪名园,罗湖,1996,1,1,801,南北,60
日豪名园,罗湖,1996,1,1,802,东西,70
日豪名园,罗湖,1996,1,1,803,南北,80
日豪名园,罗湖,1996,1,1,901,南北,60
日豪名园,罗湖,1996,1,1,902,东西,70
日豪名园,罗湖,1996,1,1,903,南北,80
日豪名园,罗湖,1996,1,1,1001,南北,60
日豪名园,罗湖,1996,1,1,1002,东西,70
日豪名园,罗湖,1996,1,1,1003,南北,80
日豪名园,罗湖,1996,1,1,1101,南北,60
日豪名园,罗湖,1996,1,1,1102,东西,70
日豪名园,罗湖,1996,1,1,1103,南北,80
日豪名园,罗湖,1996,1,1,1201,南北,60
日豪名园,罗湖,1996,1,1,1202,东西,70
日豪名园,罗湖,1996,1,1,1203,南北,80
日豪名园,罗湖,1996,1,1,1301,南北,60
日豪名园,罗湖,1996,1,1,1302,东西,70
日豪名园,罗湖,1996,1,1,1303,南北,80
日豪名园,罗湖,1996,1,1,1401,南北,60
日豪名园,罗湖,1996,1,1,1402,东西,70
日豪名园,罗湖,1996,1,1,1403,南北,80
日豪名园,罗湖,1996,1,1,1501,南北,60
日豪名园,罗湖,1996,1,1,1502,东西,70
日豪名园,罗湖,1996,1,1,1503,南北,80
日豪名园,罗湖,1996,1,1,1601,南北,60
日豪名园,罗湖,1996,1,1,1602,东西,70
日豪名园,罗湖,1996,1,1,1603,南北,80
日豪名园,罗湖,1996,1,1,1701,南北,60
日豪名园,罗湖,1996,1,1,1702,东西,70
日豪名园,罗湖,1996,1,1,1703,南北,80
日豪名园,罗湖,1996,1,1,1801,南北,60
日豪名园,罗湖,1996,1,1,1802,东西,70
日豪名园,罗湖,1996,1,1,1803,南北,80
日豪名园,罗湖,1996,1,1,1901,南北,60
日豪名园,罗湖,1996,1,1,1902,东西,70
日豪名园,罗湖,1996,1,1,1903,南北,80
日豪名园,罗湖,1996,1,1,2001,南北,60
日豪名园,罗湖,1996,1,1,2002,东西,70
日豪名园,罗湖,1996,1,1,2003,南北,80
日豪名园,罗湖,1996,1,1,2101,南北,60
日豪名园,罗湖,1996,1,1,2102,东西,70
日豪名园,罗湖,1996,1,1,2103,南北,80
日豪名园,罗湖,1996,1,1,2201,南北,60
日豪名园,罗湖,1996,1,1,2202,东西,70
日豪名园,罗湖,1996,1,1,2203,南北,80
日豪名园,罗湖,1996,1,1,2301,南北,60
日豪名园,罗湖,1996,1,1,2302,东西,70
日豪名园,罗湖,1996,1,1,2303,南北,80
日豪名园,罗湖,1996,1,1,2401,南北,60
日豪名园,罗湖,1996,1,1,2402,东西,70
日豪名园,罗湖,1996,1,1,2403,南北,80
日豪名园,罗湖,1996,1,1,2501,南北,60
日豪名园,罗湖,1996,1,1,2502,东西,70
日豪名园,罗湖,1996,1,1,2503,南北,80
日豪名园,罗湖,1996,1,1,2601,南北,60
日豪名园,罗湖,1996,1,1,2602,东西,70
日豪名园,罗湖,1996,1,1,2603,南北,80
日豪名园,罗湖,1996,1,1,2701,南北,60
日豪名园,罗湖,1996,1,1,2702,东西,70
日豪名园,罗湖,1996,1,1,2703,南北,80
日豪名园,罗湖,1996,1,1,2801,南北,60
日豪名园,罗湖,1996,1,1,2802,东西,70
日豪名园,罗湖,1996,1,1,2803,南北,80
日豪名园,罗湖,1996,1,1,2901,南北,60
日豪名园,罗湖,1996,1,1,2902,东西,70
日豪名园,罗湖,1996,1,1,2903,南北,80
日豪名园,罗湖,1996,1,1,3001,南北,60
日豪名园,罗湖,1996,1,1,3002,东西,70
日豪名园,罗湖,1996,1,1,3003,南北,80
日豪名园,罗湖,1996,1,1,3101,南北,60
日豪名园,罗湖,1996,1,1,3102,东西,70
日豪名园,罗湖,1996,1,1,3103,南北,80
